record_id,student_id,student_name,gender,age,class,location,subject,attendance_pct,study_hours_per_week,assignment_marks,test_marks,exam_marks,final_score,final_grade,academic_term,academic_year
30,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,90.3,3.0,88.5,100.0,94.8,95.1,A,Term 2,2025
31,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,73.4,1.4,74.6,80.7,79.5,78.9,B,Term 2,2025
32,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,81.3,1.7,64.3,72.5,68.2,68.7,C,Term 2,2025
33,1,Thomas Brown,Male,13,Form 1,Kisumu,History,69.5,3.3,74.4,79.9,79.3,78.5,B,Term 2,2025
34,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,70.6,3.5,86.2,88.2,69.8,78.6,B,Term 2,2025
35,1,Thomas Brown,Male,13,Form 1,Kisumu,English,72.6,3.8,84.2,100.0,86.2,89.9,A,Term 2,2025
36,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,93.4,4.4,87.7,94.6,83.1,87.5,A,Term 3,2025
37,1,Thomas Brown,Male,13,Form 1,Kisumu,History,79.6,2.3,88.6,64.0,82.5,78.2,B,Term 3,2025
38,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,65.9,2.3,80.0,72.1,74.0,74.6,B,Term 3,2025
39,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,74.7,3.3,77.2,95.4,85.5,86.8,A,Term 1,2023
40,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,61.7,3.3,77.1,67.3,71.9,71.5,B,Term 1,2023
41,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,87.0,4.3,76.8,75.1,73.2,74.5,B,Term 1,2023
42,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,99.7,3.6,84.1,94.4,87.8,89.0,A,Term 2,2023
43,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,66.8,2.3,79.6,86.2,89.3,86.5,A,Term 2,2023
44,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,72.7,2.9,54.0,57.4,49.2,52.6,D,Term 2,2023
45,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,98.3,0.9,77.9,87.3,65.7,74.6,B,Term 2,2023
46,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,93.6,3.0,80.5,79.6,73.4,76.7,B,Term 2,2023
47,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,82.7,2.4,83.9,91.7,70.7,79.6,B,Term 2,2023
48,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,100.0,0.1,80.4,79.4,72.4,76.1,B,Term 3,2023
49,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,79.9,2.3,79.5,77.7,69.7,74.1,B,Term 3,2023
50,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,91.0,3.5,92.6,83.6,85.0,86.1,A,Term 3,2023
51,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,89.5,3.9,85.8,94.1,80.5,85.6,A,Term 1,2024
52,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,87.5,2.7,86.0,86.2,87.0,86.5,A,Term 1,2024
53,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,95.1,3.0,87.0,90.9,87.5,88.4,A,Term 1,2024
54,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,83.0,3.9,89.2,71.7,69.0,73.8,B,Term 2,2024
55,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,93.6,4.2,93.9,90.7,83.6,87.8,A,Term 2,2024
56,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,82.8,2.0,83.9,78.9,82.1,81.5,A,Term 2,2024
57,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,86.1,2.2,76.4,76.9,71.1,73.9,B,Term 3,2024
58,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,77.3,3.3,65.1,67.1,70.5,68.4,C,Term 3,2024
59,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,85.1,5.2,91.8,92.5,84.6,88.4,A,Term 3,2024
60,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,81.8,2.6,77.8,85.6,94.2,88.4,A,Term 3,2024
61,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,80.9,3.6,84.5,88.1,86.6,86.7,A,Term 1,2025
62,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,83.0,1.8,81.1,88.8,86.3,86.0,A,Term 1,2025
63,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,100.0,1.8,88.9,100.0,81.5,88.6,A,Term 1,2025
64,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,73.6,2.1,61.4,58.8,65.3,62.5,C,Term 1,2025
65,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,85.4,5.8,91.9,88.5,98.7,94.3,A,Term 2,2025
66,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,68.8,5.7,89.5,79.8,100.0,91.8,A,Term 2,2025
67,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,80.9,4.9,72.9,76.0,76.3,75.5,B,Term 2,2025
68,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,77.5,3.9,75.2,76.8,80.1,78.1,B,Term 2,2025
69,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,89.1,1.3,75.9,71.8,63.5,68.5,C,Term 3,2025
70,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,97.5,3.2,92.9,100.0,100.0,98.6,A,Term 3,2025
71,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,79.5,4.5,94.9,81.3,93.5,90.1,A,Term 3,2025
72,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,92.6,0.4,59.9,68.2,75.8,70.4,B,Term 3,2025
73,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,82.7,5.4,80.5,88.7,92.1,88.8,A,Term 1,2023
74,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,81.7,0.0,76.4,87.6,85.8,84.5,A,Term 1,2023
75,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,72.6,2.2,80.1,87.1,72.5,78.4,B,Term 1,2023
76,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,87.0,2.2,85.0,78.3,81.1,81.0,A,Term 1,2023
77,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,70.0,5.9,92.1,97.1,94.7,94.9,A,Term 2,2023
78,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,79.8,3.9,94.7,93.3,95.1,94.5,A,Term 2,2023
79,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,59.0,0.7,96.0,86.0,92.4,91.2,A,Term 2,2023
80,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,85.1,7.6,99.4,93.3,87.1,91.4,A,Term 2,2023
81,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,84.0,1.9,76.9,72.6,93.7,84.0,A,Term 2,2023
82,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,90.8,3.0,100.0,94.0,100.0,98.2,A,Term 3,2023
83,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,87.4,1.4,83.0,77.7,94.8,87.3,A,Term 3,2023
84,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,100.0,0.9,90.4,90.3,88.9,89.6,A,Term 3,2023
85,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,73.4,3.1,85.4,83.7,82.2,83.3,A,Term 3,2023
86,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,72.9,2.1,93.6,84.3,91.9,90.0,A,Term 3,2023
87,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,89.5,0.5,86.6,93.9,83.8,87.4,A,Term 3,2023
88,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,64.0,0.6,82.0,74.4,85.8,81.6,A,Term 1,2024
89,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,65.4,2.9,76.1,79.7,72.5,75.4,B,Term 1,2024
90,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,78.2,4.5,94.6,82.5,94.6,91.0,A,Term 1,2024
91,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,96.4,0.0,85.2,80.9,85.3,84.0,A,Term 2,2024
92,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,76.0,3.1,94.7,90.7,91.6,92.0,A,Term 2,2024
93,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,77.9,2.3,87.5,82.6,87.9,86.2,A,Term 2,2024
94,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,100.0,4.3,100.0,94.0,80.5,88.5,A,Term 3,2024
95,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,71.9,0.2,79.5,91.1,82.0,84.2,A,Term 3,2024
96,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,79.8,4.2,81.5,85.7,68.5,76.3,B,Term 3,2024
97,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,93.4,3.5,95.8,100.0,94.1,96.2,A,Term 3,2024
98,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,84.5,2.3,89.0,78.8,85.4,84.1,A,Term 3,2024
99,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,77.2,3.7,98.8,90.1,91.5,92.5,A,Term 3,2024
100,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,72.2,2.3,93.0,82.7,96.1,91.5,A,Term 1,2025
101,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,95.6,3.6,96.1,91.3,85.8,89.5,A,Term 1,2025
102,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,97.0,4.0,98.3,89.0,100.0,96.4,A,Term 1,2025
103,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,83.3,3.2,98.5,97.7,89.8,93.9,A,Term 2,2025
104,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,86.7,5.8,100.0,96.4,92.1,95.0,A,Term 2,2025
105,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,80.7,3.1,89.0,100.0,96.2,95.9,A,Term 2,2025
106,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,77.7,1.5,80.4,76.7,65.9,72.1,B,Term 3,2025
107,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,69.0,2.5,95.2,86.0,94.6,92.1,A,Term 3,2025
108,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,79.3,0.0,81.4,87.4,97.3,91.1,A,Term 3,2025
109,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,79.3,1.3,97.4,97.2,96.9,97.1,A,Term 1,2023
110,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,84.0,2.8,80.3,82.8,78.7,80.2,A,Term 1,2023
111,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,74.9,3.2,91.1,65.0,92.3,83.9,A,Term 1,2023
112,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,94.5,0.0,78.2,70.2,73.9,73.6,B,Term 1,2023
113,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,70.9,5.6,100.0,100.0,86.9,93.4,A,Term 1,2023
114,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,76.8,3.7,83.3,78.0,76.7,78.4,B,Term 2,2023
115,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,89.1,3.7,93.6,80.2,92.7,89.1,A,Term 2,2023
116,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,87.9,2.5,82.5,95.3,87.3,88.7,A,Term 2,2023
117,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,76.8,4.6,77.9,74.0,89.8,82.7,A,Term 2,2023
118,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,69.2,5.6,85.9,78.9,76.6,79.2,B,Term 3,2023
119,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,76.6,3.6,91.9,87.2,87.6,88.4,A,Term 3,2023
120,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,78.4,2.9,78.7,77.8,93.2,85.7,A,Term 3,2023
121,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,83.7,2.7,88.1,82.6,80.1,82.5,A,Term 3,2023
122,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,84.0,1.5,77.3,93.0,89.6,88.1,A,Term 3,2023
123,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,84.6,4.5,100.0,87.1,89.8,91.0,A,Term 1,2024
124,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,75.8,3.0,84.5,89.5,82.1,84.8,A,Term 1,2024
125,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,75.9,0.9,67.4,67.3,82.6,75.0,B,Term 1,2024
126,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,72.5,6.9,97.9,91.0,100.0,96.9,A,Term 1,2024
127,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,76.2,3.2,99.5,100.0,94.4,97.1,A,Term 1,2024
128,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,81.7,5.7,98.4,94.3,84.8,90.4,A,Term 2,2024
129,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,88.3,4.5,87.6,90.4,93.5,91.4,A,Term 2,2024
130,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,81.3,3.9,83.0,92.4,94.6,91.6,A,Term 2,2024
131,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,87.6,4.6,99.3,96.5,83.7,90.6,A,Term 2,2024
132,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,86.3,3.3,83.6,82.4,98.4,90.7,A,Term 2,2024
133,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,81.6,4.0,89.3,95.7,85.0,89.1,A,Term 2,2024
134,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,83.0,2.3,80.9,84.0,78.6,80.7,A,Term 3,2024
135,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,94.6,1.7,83.0,95.3,86.8,88.6,A,Term 3,2024
136,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,92.3,0.8,89.6,85.7,93.7,90.5,A,Term 3,2024
137,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,76.8,5.1,98.2,96.9,100.0,98.7,A,Term 3,2024
138,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,97.8,2.2,84.6,76.6,78.6,79.2,B,Term 3,2024
139,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,72.0,1.8,82.1,91.8,72.9,80.4,A,Term 1,2025
140,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,91.8,2.7,91.3,80.0,90.9,87.7,A,Term 1,2025
141,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,83.7,3.7,100.0,86.1,86.3,89.0,A,Term 1,2025
142,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,75.8,2.2,85.0,89.0,74.5,80.9,A,Term 2,2025
143,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,73.7,3.7,86.1,84.3,70.8,77.9,B,Term 2,2025
144,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,97.5,5.7,91.5,95.4,96.1,95.0,A,Term 2,2025
145,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,88.6,6.0,90.7,85.0,88.8,88.0,A,Term 3,2025
146,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,81.7,5.7,91.2,89.9,99.6,95.0,A,Term 3,2025
147,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,100.0,2.2,91.3,90.9,100.0,95.5,A,Term 3,2025
148,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,87.8,2.5,95.7,95.9,94.2,95.0,A,Term 3,2025
149,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,92.7,4.8,100.0,98.8,100.0,99.6,A,Term 3,2025
150,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,73.8,3.6,84.6,93.4,86.0,87.9,A,Term 1,2023
151,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,82.5,1.0,90.2,100.0,84.5,90.3,A,Term 1,2023
152,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,84.2,3.4,97.9,100.0,100.0,99.6,A,Term 1,2023
153,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,83.9,2.3,92.8,80.2,88.5,86.9,A,Term 2,2023
154,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,75.0,4.8,78.3,83.7,93.6,87.6,A,Term 2,2023
155,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,81.3,2.2,89.3,81.1,100.0,92.2,A,Term 2,2023
156,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,77.0,1.5,87.9,82.7,76.4,80.6,A,Term 3,2023
157,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,90.7,4.0,100.0,84.0,79.3,84.9,A,Term 3,2023
158,5,Richard Hernandez,Male,13,Form 2,Nairobi,Mathematics,75.1,2.9,85.8,89.5,77.0,82.5,A,Term 3,2023
159,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,96.4,2.9,99.2,100.0,100.0,99.8,A,Term 3,2023
160,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,86.5,4.0,100.0,100.0,98.3,99.1,A,Term 3,2023
161,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,96.4,2.0,99.1,89.3,100.0,96.6,A,Term 3,2023
162,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,75.2,4.3,82.8,71.8,81.4,78.8,B,Term 1,2024
163,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,57.8,0.6,84.0,83.0,72.3,77.9,B,Term 1,2024
164,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,81.5,3.0,87.9,86.5,78.6,82.9,A,Term 1,2024
165,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,82.3,3.3,74.8,71.3,68.1,70.4,B,Term 1,2024
166,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,79.2,5.7,94.5,100.0,100.0,98.9,A,Term 2,2024
167,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,91.2,3.1,89.6,88.9,93.3,91.2,A,Term 2,2024
168,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,88.4,4.6,96.4,91.2,100.0,96.6,A,Term 2,2024
169,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,75.1,5.6,90.2,90.1,90.9,90.5,A,Term 3,2024
170,5,Richard Hernandez,Male,13,Form 2,Nairobi,Mathematics,86.2,3.8,86.9,100.0,100.0,97.4,A,Term 3,2024
171,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,86.4,3.1,92.5,82.3,87.4,86.9,A,Term 3,2024
172,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,65.3,3.6,86.3,99.7,78.9,86.6,A,Term 1,2025
173,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,67.4,3.3,99.4,87.7,99.6,96.0,A,Term 1,2025
174,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,81.6,2.7,95.3,81.0,100.0,93.4,A,Term 1,2025
175,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,95.8,2.1,93.4,92.8,86.6,89.8,A,Term 1,2025
176,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,75.3,3.0,95.5,90.1,98.9,95.6,A,Term 2,2025
177,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,53.5,4.7,72.4,66.4,63.9,66.3,C,Term 2,2025
178,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,93.6,2.3,90.5,94.0,91.3,92.0,A,Term 2,2025
179,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,69.2,4.5,77.3,82.0,97.1,88.6,A,Term 2,2025
180,5,Richard Hernandez,Male,13,Form 2,Nairobi,Mathematics,90.5,2.5,84.6,100.0,89.3,91.5,A,Term 3,2025
181,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,86.3,4.5,92.6,92.5,93.3,92.9,A,Term 3,2025
182,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,81.6,4.1,94.1,89.9,91.1,91.3,A,Term 3,2025
183,6,Stacey Olson,Male,14,Form 1,Eldoret,Physics,91.2,3.5,44.1,73.2,57.5,59.5,D,Term 1,2023
184,6,Stacey Olson,Male,14,Form 1,Eldoret,Biology,93.1,1.4,46.3,47.2,66.9,56.9,D,Term 1,2023
185,6,Stacey Olson,Male,14,Form 1,Eldoret,History,80.1,3.3,57.1,55.6,57.5,56.9,D,Term 1,2023
186,6,Stacey Olson,Male,14,Form 1,Eldoret,History,100.0,2.9,59.8,62.3,64.0,62.6,C,Term 2,2023
187,6,Stacey Olson,Male,14,Form 1,Eldoret,Biology,88.4,1.3,50.4,58.3,50.1,52.6,D,Term 2,2023
188,6,Stacey Olson,Male,14,Form 1,Eldoret,Computer Science,81.4,3.5,54.1,63.3,55.7,57.6,D,Term 2,2023
189,6,Stacey Olson,Male,14,Form 1,Eldoret,English,79.6,4.4,53.0,63.3,64.8,62.0,C,Term 2,2023
190,6,Stacey Olson,Male,14,Form 1,Eldoret,Mathematics,79.0,5.1,53.2,51.3,52.7,52.4,D,Term 2,2023
191,6,Stacey Olson,Male,14,Form 1,Eldoret,Physics,71.0,0.8,46.2,43.5,33.2,38.9,F,Term 2,2023
192,6,Stacey Olson,Male,14,Form 1,Eldoret,Biology,75.6,1.0,57.4,47.5,70.3,60.9,C,Term 3,2023
193,6,Stacey Olson,Male,14,Form 1,Eldoret,Mathematics,91.8,2.5,46.7,25.5,22.1,28.1,F,Term 3,2023
194,6,Stacey Olson,Male,14,Form 1,Eldoret,Physics,92.2,6.7,71.9,73.2,75.9,74.3,B,Term 3,2023
195,6,Stacey Olson,Male,14,Form 1,Eldoret,Computer Science,89.6,3.4,52.3,47.3,50.4,49.8,F,Term 3,2023
196,6,Stacey Olson,Male,14,Form 1,Eldoret,English,65.1,2.9,33.0,39.7,49.6,43.3,F,Term 3,2023
197,6,Stacey Olson,Male,14,Form 1,Eldoret,Mathematics,91.2,0.6,44.2,32.6,37.7,37.5,F,Term 1,2024
198,6,Stacey Olson,Male,14,Form 1,Eldoret,English,87.5,1.5,40.7,43.2,50.0,46.1,F,Term 1,2024
199,6,Stacey Olson,Male,14,Form 1,Eldoret,Biology,66.1,3.7,49.3,48.1,57.5,53.1,D,Term 1,2024
200,6,Stacey Olson,Male,14,Form 1,Eldoret,Physics,83.3,2.4,51.2,48.8,48.8,49.3,F,Term 1,2024
201,6,Stacey Olson,Male,14,Form 1,Eldoret,Computer Science,75.0,2.0,45.1,27.7,30.8,32.7,F,Term 1,2024
202,6,Stacey Olson,Male,14,Form 1,Eldoret,English,74.8,4.3,55.1,44.1,51.0,49.8,F,Term 2,2024
203,6,Stacey Olson,Male,14,Form 1,Eldoret,Physics,73.6,6.2,49.4,52.3,51.2,51.1,D,Term 2,2024
204,6,Stacey Olson,Male,14,Form 1,Eldoret,Computer Science,80.1,2.8,47.6,55.1,66.0,59.1,D,Term 2,2024
205,6,Stacey Olson,Male,14,Form 1,Eldoret,Physics,76.4,0.9,54.9,36.3,55.1,49.4,F,Term 3,2024
206,6,Stacey Olson,Male,14,Form 1,Eldoret,Computer Science,98.8,2.2,62.7,51.9,52.9,54.6,D,Term 3,2024
207,6,Stacey Olson,Male,14,Form 1,Eldoret,History,76.2,1.5,33.7,40.1,33.7,35.6,F,Term 3,2024
