record_id,student_id,student_name,gender,age,class,location,subject,attendance_percent,study_hours_per_week,assignment_marks,test_marks,exam_marks,final_score,final_grade,academic_term,academic_year,term_number,period
87,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,89.5,0.5,86.6,93.9,83.8,87.4,A,Term 3,2023,3,2023-Term 3
88,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,64.0,0.6,82.0,74.4,85.8,81.6,A,Term 1,2024,1,2024-Term 1
89,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,65.4,2.9,76.1,79.7,72.5,75.4,B,Term 1,2024,1,2024-Term 1
90,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,78.2,4.5,94.6,82.5,94.6,91.0,A,Term 1,2024,1,2024-Term 1
91,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,96.4,0.0,85.2,80.9,85.3,84.0,A,Term 2,2024,2,2024-Term 2
92,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,76.0,3.1,94.7,90.7,91.6,92.0,A,Term 2,2024,2,2024-Term 2
93,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,77.9,2.3,87.5,82.6,87.9,86.2,A,Term 2,2024,2,2024-Term 2
94,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,100.0,4.3,100.0,94.0,80.5,88.5,A,Term 3,2024,3,2024-Term 3
95,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,71.9,0.2,79.5,91.1,82.0,84.2,A,Term 3,2024,3,2024-Term 3
96,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,79.8,4.2,81.5,85.7,68.5,76.3,B,Term 3,2024,3,2024-Term 3
97,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,93.4,3.5,95.8,100.0,94.1,96.2,A,Term 3,2024,3,2024-Term 3
98,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,84.5,2.3,89.0,78.8,85.4,84.1,A,Term 3,2024,3,2024-Term 3
99,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,77.2,3.7,98.8,90.1,91.5,92.5,A,Term 3,2024,3,2024-Term 3
100,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,72.2,2.3,93.0,82.7,96.1,91.5,A,Term 1,2025,1,2025-Term 1
101,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,95.6,3.6,96.1,91.3,85.8,89.5,A,Term 1,2025,1,2025-Term 1
102,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,97.0,4.0,98.3,89.0,100.0,96.4,A,Term 1,2025,1,2025-Term 1
103,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,83.3,3.2,98.5,97.7,89.8,93.9,A,Term 2,2025,2,2025-Term 2
104,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,86.7,5.8,100.0,96.4,92.1,95.0,A,Term 2,2025,2,2025-Term 2
105,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,80.7,3.1,89.0,100.0,96.2,95.9,A,Term 2,2025,2,2025-Term 2
106,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,77.7,1.5,80.4,76.7,65.9,72.1,B,Term 3,2025,3,2025-Term 3
107,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,69.0,2.5,95.2,86.0,94.6,92.1,A,Term 3,2025,3,2025-Term 3
108,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,79.3,0.0,81.4,87.4,97.3,91.1,A,Term 3,2025,3,2025-Term 3
109,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,79.3,1.3,97.4,97.2,96.9,97.1,A,Term 1,2023,1,2023-Term 1
110,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,84.0,2.8,80.3,82.8,78.7,80.2,A,Term 1,2023,1,2023-Term 1
111,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,74.9,3.2,91.1,65.0,92.3,83.9,A,Term 1,2023,1,2023-Term 1
112,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,94.5,0.0,78.2,70.2,73.9,73.6,B,Term 1,2023,1,2023-Term 1
113,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,70.9,5.6,100.0,100.0,86.9,93.4,A,Term 1,2023,1,2023-Term 1
114,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,76.8,3.7,83.3,78.0,76.7,78.4,B,Term 2,2023,2,2023-Term 2
115,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,89.1,3.7,93.6,80.2,92.7,89.1,A,Term 2,2023,2,2023-Term 2
116,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,87.9,2.5,82.5,95.3,87.3,88.7,A,Term 2,2023,2,2023-Term 2
117,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,76.8,4.6,77.9,74.0,89.8,82.7,A,Term 2,2023,2,2023-Term 2
118,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,69.2,5.6,85.9,78.9,76.6,79.2,B,Term 3,2023,3,2023-Term 3
119,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,76.6,3.6,91.9,87.2,87.6,88.4,A,Term 3,2023,3,2023-Term 3
120,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,78.4,2.9,78.7,77.8,93.2,85.7,A,Term 3,2023,3,2023-Term 3
121,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,83.7,2.7,88.1,82.6,80.1,82.5,A,Term 3,2023,3,2023-Term 3
122,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,84.0,1.5,77.3,93.0,89.6,88.1,A,Term 3,2023,3,2023-Term 3
123,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,84.6,4.5,100.0,87.1,89.8,91.0,A,Term 1,2024,1,2024-Term 1
124,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,75.8,3.0,84.5,89.5,82.1,84.8,A,Term 1,2024,1,2024-Term 1
125,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,75.9,0.9,67.4,67.3,82.6,75.0,B,Term 1,2024,1,2024-Term 1
126,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,72.5,6.9,97.9,91.0,100.0,96.9,A,Term 1,2024,1,2024-Term 1
127,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,76.2,3.2,99.5,100.0,94.4,97.1,A,Term 1,2024,1,2024-Term 1
128,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,81.7,5.7,98.4,94.3,84.8,90.4,A,Term 2,2024,2,2024-Term 2
129,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,88.3,4.5,87.6,90.4,93.5,91.4,A,Term 2,2024,2,2024-Term 2
130,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,81.3,3.9,83.0,92.4,94.6,91.6,A,Term 2,2024,2,2024-Term 2
131,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,87.6,4.6,99.3,96.5,83.7,90.6,A,Term 2,2024,2,2024-Term 2
132,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,86.3,3.3,83.6,82.4,98.4,90.7,A,Term 2,2024,2,2024-Term 2
133,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,81.6,4.0,89.3,95.7,85.0,89.1,A,Term 2,2024,2,2024-Term 2
134,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,83.0,2.3,80.9,84.0,78.6,80.7,A,Term 3,2024,3,2024-Term 3
135,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,94.6,1.7,83.0,95.3,86.8,88.6,A,Term 3,2024,3,2024-Term 3
136,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,92.3,0.8,89.6,85.7,93.7,90.5,A,Term 3,2024,3,2024-Term 3
137,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,76.8,5.1,98.2,96.9,100.0,98.7,A,Term 3,2024,3,2024-Term 3
138,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,97.8,2.2,84.6,76.6,78.6,79.2,B,Term 3,2024,3,2024-Term 3
139,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,72.0,1.8,82.1,91.8,72.9,80.4,A,Term 1,2025,1,2025-Term 1
140,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,91.8,2.7,91.3,80.0,90.9,87.7,A,Term 1,2025,1,2025-Term 1
141,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,83.7,3.7,100.0,86.1,86.3,89.0,A,Term 1,2025,1,2025-Term 1
142,4,Joseph Phillips,Male,17,Form 4,Nakuru,Physics,75.8,2.2,85.0,89.0,74.5,80.9,A,Term 2,2025,2,2025-Term 2
143,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,73.7,3.7,86.1,84.3,70.8,77.9,B,Term 2,2025,2,2025-Term 2
144,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,97.5,5.7,91.5,95.4,96.1,95.0,A,Term 2,2025,2,2025-Term 2
145,4,Joseph Phillips,Male,17,Form 4,Nakuru,Mathematics,88.6,6.0,90.7,85.0,88.8,88.0,A,Term 3,2025,3,2025-Term 3
146,4,Joseph Phillips,Male,17,Form 4,Nakuru,History,81.7,5.7,91.2,89.9,99.6,95.0,A,Term 3,2025,3,2025-Term 3
147,4,Joseph Phillips,Male,17,Form 4,Nakuru,English,100.0,2.2,91.3,90.9,100.0,95.5,A,Term 3,2025,3,2025-Term 3
148,4,Joseph Phillips,Male,17,Form 4,Nakuru,Computer Science,87.8,2.5,95.7,95.9,94.2,95.0,A,Term 3,2025,3,2025-Term 3
149,4,Joseph Phillips,Male,17,Form 4,Nakuru,Biology,92.7,4.8,100.0,98.8,100.0,99.6,A,Term 3,2025,3,2025-Term 3
150,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,73.8,3.6,84.6,93.4,86.0,87.9,A,Term 1,2023,1,2023-Term 1
151,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,82.5,1.0,90.2,100.0,84.5,90.3,A,Term 1,2023,1,2023-Term 1
152,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,84.2,3.4,97.9,100.0,100.0,99.6,A,Term 1,2023,1,2023-Term 1
153,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,83.9,2.3,92.8,80.2,88.5,86.9,A,Term 2,2023,2,2023-Term 2
154,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,75.0,4.8,78.3,83.7,93.6,87.6,A,Term 2,2023,2,2023-Term 2
155,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,81.3,2.2,89.3,81.1,100.0,92.2,A,Term 2,2023,2,2023-Term 2
156,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,77.0,1.5,87.9,82.7,76.4,80.6,A,Term 3,2023,3,2023-Term 3
157,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,90.7,4.0,100.0,84.0,79.3,84.9,A,Term 3,2023,3,2023-Term 3
158,5,Richard Hernandez,Male,13,Form 2,Nairobi,Mathematics,75.1,2.9,85.8,89.5,77.0,82.5,A,Term 3,2023,3,2023-Term 3
159,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,96.4,2.9,99.2,100.0,100.0,99.8,A,Term 3,2023,3,2023-Term 3
160,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,86.5,4.0,100.0,100.0,98.3,99.1,A,Term 3,2023,3,2023-Term 3
161,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,96.4,2.0,99.1,89.3,100.0,96.6,A,Term 3,2023,3,2023-Term 3
162,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,75.2,4.3,82.8,71.8,81.4,78.8,B,Term 1,2024,1,2024-Term 1
163,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,57.8,0.6,84.0,83.0,72.3,77.9,B,Term 1,2024,1,2024-Term 1
164,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,81.5,3.0,87.9,86.5,78.6,82.9,A,Term 1,2024,1,2024-Term 1
165,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,82.3,3.3,74.8,71.3,68.1,70.4,B,Term 1,2024,1,2024-Term 1
166,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,79.2,5.7,94.5,100.0,100.0,98.9,A,Term 2,2024,2,2024-Term 2
167,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,91.2,3.1,89.6,88.9,93.3,91.2,A,Term 2,2024,2,2024-Term 2
168,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,88.4,4.6,96.4,91.2,100.0,96.6,A,Term 2,2024,2,2024-Term 2
169,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,75.1,5.6,90.2,90.1,90.9,90.5,A,Term 3,2024,3,2024-Term 3
170,5,Richard Hernandez,Male,13,Form 2,Nairobi,Mathematics,86.2,3.8,86.9,100.0,100.0,97.4,A,Term 3,2024,3,2024-Term 3
171,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,86.4,3.1,92.5,82.3,87.4,86.9,A,Term 3,2024,3,2024-Term 3
172,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,65.3,3.6,86.3,99.7,78.9,86.6,A,Term 1,2025,1,2025-Term 1
173,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,67.4,3.3,99.4,87.7,99.6,96.0,A,Term 1,2025,1,2025-Term 1
174,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,81.6,2.7,95.3,81.0,100.0,93.4,A,Term 1,2025,1,2025-Term 1
175,5,Richard Hernandez,Male,13,Form 2,Nairobi,English,95.8,2.1,93.4,92.8,86.6,89.8,A,Term 1,2025,1,2025-Term 1
176,5,Richard Hernandez,Male,13,Form 2,Nairobi,Physics,75.3,3.0,95.5,90.1,98.9,95.6,A,Term 2,2025,2,2025-Term 2
177,5,Richard Hernandez,Male,13,Form 2,Nairobi,Computer Science,53.5,4.7,72.4,66.4,63.9,66.3,C,Term 2,2025,2,2025-Term 2
178,5,Richard Hernandez,Male,13,Form 2,Nairobi,History,93.6,2.3,90.5,94.0,91.3,92.0,A,Term 2,2025,2,2025-Term 2
179,5,Richard Hernandez,Male,13,Form 2,Nairobi,Biology,69.2,4.5,77.3,82.0,97.1,88.6,A,Term 2,2025,2,2025-Term 2
180,5,Richard Hernandez,Male,13,Form 2,Nairobi,Mathematics,90.5,2.5,84.6,100.0,89.3,91.5,A,Term 3,2025,3,2025-Term 3
