feedback_id,teacher_name,subject,academic_term,academic_year,clarity_of_teaching,communication,subject_knowledge,explains_concepts_well,classroom_engagement,availability,use_of_materials,responsiveness,fairness_in_assessment,overall_effectiveness
57,Victoria White,Biology,Term 3,2023,3,3,4,2,3,3,3,3,3,4
58,Victoria White,Biology,Term 3,2023,3,5,3,3,3,3,4,4,4,4
59,Victoria White,Biology,Term 3,2023,4,5,3,5,4,1,4,5,4,3
60,Victoria White,Biology,Term 3,2023,3,5,4,3,4,3,2,4,4,3
61,Victoria White,Biology,Term 3,2023,3,4,3,3,3,3,4,2,4,3
62,Victoria White,Biology,Term 3,2023,3,5,4,4,3,5,3,3,4,2
63,Victoria White,Biology,Term 3,2023,4,3,3,3,4,3,4,5,4,4
64,Victoria White,Biology,Term 3,2023,3,3,4,3,2,3,4,3,4,3
65,Victoria White,Biology,Term 3,2023,3,3,3,3,5,4,2,4,5,4
66,Victoria White,Biology,Term 3,2023,5,4,4,4,3,4,4,3,2,4
67,Victoria White,Biology,Term 3,2023,3,3,5,4,4,4,3,3,5,4
68,Victoria White,Biology,Term 3,2023,3,3,4,3,4,4,5,2,4,4
69,Victoria White,Biology,Term 3,2023,4,3,4,3,4,4,5,4,2,4
70,Victoria White,Biology,Term 3,2023,5,2,3,4,2,4,3,4,4,3
71,Victoria White,Biology,Term 3,2023,4,3,3,3,4,4,3,3,3,3
72,Victoria White,Biology,Term 3,2023,4,3,4,3,3,2,3,3,5,5
73,Victoria White,Biology,Term 3,2023,4,3,3,4,2,4,2,3,3,3
74,Victoria White,Biology,Term 3,2023,3,4,4,4,5,3,5,3,2,4
75,Victoria White,Biology,Term 3,2023,5,3,4,3,4,4,4,3,4,2
76,Victoria White,Biology,Term 1,2024,4,3,4,4,4,2,3,5,4,4
77,Victoria White,Biology,Term 1,2024,2,4,4,3,3,3,4,4,4,4
78,Victoria White,Biology,Term 1,2024,3,2,3,4,4,3,4,3,3,3
79,Victoria White,Biology,Term 1,2024,4,4,3,3,2,2,3,4,3,4
80,Victoria White,Biology,Term 1,2024,3,4,3,4,3,4,3,3,5,5
81,Victoria White,Biology,Term 1,2024,3,3,4,4,4,4,4,3,3,4
82,Victoria White,Biology,Term 1,2024,5,4,5,3,4,3,4,3,3,1
83,Victoria White,Biology,Term 1,2024,3,2,3,3,2,3,3,5,3,3
84,Victoria White,Biology,Term 1,2024,2,3,4,5,3,4,5,5,4,3
85,Victoria White,Biology,Term 1,2024,3,2,4,5,3,3,3,4,3,3
86,Victoria White,Biology,Term 1,2024,4,4,4,3,4,4,4,4,3,4
87,Victoria White,Biology,Term 1,2024,4,4,4,4,2,3,4,3,4,3
88,Victoria White,Biology,Term 1,2024,4,4,3,4,4,4,3,2,4,3
89,Victoria White,Biology,Term 1,2024,3,4,3,3,3,3,3,4,4,3
90,Victoria White,Biology,Term 1,2024,4,1,4,4,4,4,4,3,2,4
91,Victoria White,Biology,Term 1,2024,2,4,4,3,3,5,3,4,5,5
92,Victoria White,Biology,Term 1,2024,4,5,4,4,4,3,4,2,4,3
93,Victoria White,Biology,Term 1,2024,4,5,3,4,4,5,4,4,4,3
94,Victoria White,Biology,Term 1,2024,3,4,3,3,3,3,4,4,4,3
95,Victoria White,Biology,Term 1,2024,3,4,3,4,4,3,4,4,5,4
96,Victoria White,Biology,Term 1,2024,2,3,4,4,3,4,3,3,3,3
97,Victoria White,Biology,Term 1,2024,5,4,4,2,5,2,3,2,3,5
98,Victoria White,Biology,Term 1,2024,4,4,4,3,4,5,4,4,4,4
99,Victoria White,Biology,Term 1,2024,2,4,3,4,5,4,5,4,3,3
100,Victoria White,Biology,Term 2,2024,3,4,3,4,4,2,3,4,3,4
101,Victoria White,Biology,Term 2,2024,4,4,4,4,4,3,4,4,4,4
102,Victoria White,Biology,Term 2,2024,4,3,3,3,4,2,4,5,4,3
103,Victoria White,Biology,Term 2,2024,2,5,3,3,2,2,4,3,4,3
104,Victoria White,Biology,Term 2,2024,5,3,4,3,3,3,3,2,3,3
105,Victoria White,Biology,Term 2,2024,5,3,3,4,3,4,4,4,4,4
106,Victoria White,Biology,Term 2,2024,4,4,4,4,3,4,3,4,4,2
107,Victoria White,Biology,Term 2,2024,3,5,3,4,3,2,4,4,4,4
108,Victoria White,Biology,Term 2,2024,5,3,4,3,3,2,3,4,5,3
109,Victoria White,Biology,Term 2,2024,4,3,5,4,3,4,2,4,3,3
110,Victoria White,Biology,Term 2,2024,3,3,4,4,3,4,3,3,3,4
111,Victoria White,Biology,Term 2,2024,5,2,3,3,4,5,4,3,4,4
112,Victoria White,Biology,Term 2,2024,3,3,4,5,4,4,3,4,3,3
113,Victoria White,Biology,Term 2,2024,3,4,3,3,3,4,4,4,4,3
114,Victoria White,Biology,Term 2,2024,4,3,4,4,3,3,3,3,5,3
115,Victoria White,Biology,Term 2,2024,3,5,4,4,4,4,2,3,3,2
116,Victoria White,Biology,Term 2,2024,2,3,2,3,3,5,4,4,3,5
117,Victoria White,Biology,Term 2,2024,4,3,2,4,3,3,4,3,3,3
118,Victoria White,Biology,Term 2,2024,2,5,3,3,3,4,3,3,3,4
119,Victoria White,Biology,Term 2,2024,2,4,5,3,3,2,4,4,4,5
120,Victoria White,Biology,Term 2,2024,4,2,5,3,3,4,4,3,4,1
121,Victoria White,Biology,Term 2,2024,4,3,5,3,5,4,4,4,4,4
122,Victoria White,Biology,Term 2,2024,4,3,3,3,3,4,4,4,4,4
123,Victoria White,Biology,Term 2,2024,5,4,4,3,4,4,5,5,4,3
124,Victoria White,Biology,Term 3,2024,4,4,3,3,3,5,3,4,4,4
125,Victoria White,Biology,Term 3,2024,3,3,2,3,2,4,3,3,3,3
126,Victoria White,Biology,Term 3,2024,5,4,3,5,4,4,3,3,5,4
127,Victoria White,Biology,Term 3,2024,3,4,4,4,2,4,5,4,4,3
128,Victoria White,Biology,Term 3,2024,3,4,4,3,4,4,4,3,4,3
129,Victoria White,Biology,Term 3,2024,4,4,3,4,4,4,4,3,4,5
130,Victoria White,Biology,Term 3,2024,4,5,4,4,2,3,4,4,3,4
131,Victoria White,Biology,Term 3,2024,5,3,4,5,4,3,4,4,5,3
132,Victoria White,Biology,Term 3,2024,2,3,3,4,4,3,3,3,3,4
133,Victoria White,Biology,Term 3,2024,4,4,4,2,2,3,3,5,3,4
134,Victoria White,Biology,Term 3,2024,5,4,4,5,4,4,4,5,4,3
135,Victoria White,Biology,Term 3,2024,3,3,2,5,5,4,4,3,3,4
136,Victoria White,Biology,Term 3,2024,3,4,3,3,3,4,4,3,3,5
137,Victoria White,Biology,Term 3,2024,4,3,4,4,4,3,3,4,4,3
138,Victoria White,Biology,Term 3,2024,4,3,4,4,3,3,4,3,3,4
139,Victoria White,Biology,Term 3,2024,4,3,3,3,3,5,3,5,3,3
140,Victoria White,Biology,Term 3,2024,5,3,4,4,4,3,4,3,2,3
141,Victoria White,Biology,Term 3,2024,4,4,4,4,5,3,5,4,4,3
142,Victoria White,Biology,Term 3,2024,3,4,4,2,4,2,5,5,3,4
143,Victoria White,Biology,Term 3,2024,2,3,4,4,4,4,4,3,3,4
144,Victoria White,Biology,Term 3,2024,3,5,4,2,3,4,3,3,2,2
145,Victoria White,Biology,Term 3,2024,3,3,2,4,4,4,5,4,3,4
146,Victoria White,Biology,Term 3,2024,2,3,3,4,4,3,2,5,4,5
147,Victoria White,Biology,Term 3,2024,2,4,2,5,2,3,4,4,4,4
148,Victoria White,Biology,Term 3,2024,4,4,3,3,4,4,4,3,2,4
149,Victoria White,Biology,Term 3,2024,3,4,4,2,4,4,4,2,2,3
150,Victoria White,Biology,Term 3,2024,3,2,3,3,3,4,3,3,4,3
151,Victoria White,Biology,Term 3,2024,5,2,4,4,3,3,4,4,5,3
152,Victoria White,Biology,Term 3,2024,5,3,4,3,2,3,5,3,4,2
153,Victoria White,Biology,Term 3,2024,3,4,4,4,2,3,3,3,3,2
154,Victoria White,Biology,Term 3,2024,3,5,3,2,4,3,2,3,3,4
155,Victoria White,Biology,Term 3,2024,4,4,4,5,3,2,3,4,2,4
156,Victoria White,Biology,Term 3,2024,5,5,3,4,4,3,3,3,4,5
157,Victoria White,Biology,Term 3,2024,4,3,3,5,4,4,4,3,3,4
158,Victoria White,Biology,Term 3,2024,3,3,2,4,3,5,3,2,2,2
159,Victoria White,Biology,Term 3,2024,5,4,4,5,3,3,4,3,5,5
160,Victoria White,Biology,Term 3,2024,4,4,4,5,4,4,3,3,4,5
161,Victoria White,Biology,Term 3,2024,3,4,3,4,4,4,3,3,3,5
162,Victoria White,Biology,Term 3,2024,3,4,3,4,4,3,3,5,3,4
163,Victoria White,Biology,Term 1,2025,3,3,5,3,4,3,3,5,3,3
164,Victoria White,Biology,Term 1,2025,3,4,3,3,3,3,2,3,4,4
165,Victoria White,Biology,Term 1,2025,4,2,3,4,4,3,4,3,3,4
166,Victoria White,Biology,Term 1,2025,3,5,4,3,4,3,5,4,5,3
167,Victoria White,Biology,Term 1,2025,2,3,2,5,4,3,3,2,3,5
168,Victoria White,Biology,Term 1,2025,4,4,4,4,2,4,5,4,4,3
169,Victoria White,Biology,Term 1,2025,3,5,4,4,3,3,5,4,4,3
170,Victoria White,Biology,Term 1,2025,4,4,4,3,3,4,3,3,2,4
171,Victoria White,Biology,Term 1,2025,4,3,3,3,4,2,3,4,3,3
172,Victoria White,Biology,Term 1,2025,4,3,4,4,5,4,5,5,4,4
173,Victoria White,Biology,Term 1,2025,3,3,2,3,4,3,5,4,4,4
174,Victoria White,Biology,Term 1,2025,3,5,5,4,2,3,2,3,3,4
175,Victoria White,Biology,Term 1,2025,3,2,4,4,2,3,3,3,5,4
176,Victoria White,Biology,Term 1,2025,2,4,4,4,4,2,4,4,3,3
177,Victoria White,Biology,Term 1,2025,3,4,3,3,3,5,4,4,2,2
178,Victoria White,Biology,Term 1,2025,4,3,4,4,5,3,5,4,4,2
179,Victoria White,Biology,Term 1,2025,4,3,4,5,4,4,4,3,2,4
180,Victoria White,Biology,Term 1,2025,4,5,3,3,4,3,2,3,3,2
181,Victoria White,Biology,Term 1,2025,4,4,3,5,3,4,2,3,4,4
182,Victoria White,Biology,Term 2,2025,3,4,4,4,3,5,5,3,3,4
183,Victoria White,Biology,Term 2,2025,4,3,4,3,3,3,4,4,3,3
184,Victoria White,Biology,Term 2,2025,4,4,4,3,5,4,3,1,2,2
185,Victoria White,Biology,Term 2,2025,3,4,4,3,3,3,3,3,5,4
186,Victoria White,Biology,Term 2,2025,3,4,3,3,3,3,2,3,4,3
187,Victoria White,Biology,Term 2,2025,4,4,4,4,4,4,2,4,2,4
188,Victoria White,Biology,Term 2,2025,4,3,4,3,4,3,4,3,3,3
189,Victoria White,Biology,Term 2,2025,5,4,3,3,2,3,3,4,4,3
190,Victoria White,Biology,Term 2,2025,4,4,4,4,4,3,4,3,2,4
191,Victoria White,Biology,Term 2,2025,3,3,3,4,3,3,4,4,3,5
192,Victoria White,Biology,Term 2,2025,3,3,4,4,4,5,3,3,3,5
193,Victoria White,Biology,Term 2,2025,2,3,4,4,3,5,3,3,2,4
194,Victoria White,Biology,Term 2,2025,3,3,5,3,4,4,3,4,3,3
195,Victoria White,Biology,Term 2,2025,3,5,4,4,3,5,4,4,4,4
196,Victoria White,Biology,Term 2,2025,4,4,4,4,4,2,3,3,2,4
197,Victoria White,Biology,Term 2,2025,5,2,3,4,4,3,4,5,4,4
198,Victoria White,Biology,Term 2,2025,2,2,3,4,4,4,3,4,4,4
199,Victoria White,Biology,Term 2,2025,4,3,3,5,4,3,4,3,4,4
200,Victoria White,Biology,Term 2,2025,3,4,4,3,4,3,3,4,3,4
201,Victoria White,Biology,Term 2,2025,5,4,3,3,4,4,2,4,3,4
202,Victoria White,Biology,Term 2,2025,4,4,5,5,2,4,2,5,4,3
203,Victoria White,Biology,Term 2,2025,3,4,3,3,4,5,2,3,3,5
204,Victoria White,Biology,Term 2,2025,5,3,3,4,4,4,4,5,3,2
205,Victoria White,Biology,Term 2,2025,4,4,3,3,4,3,4,3,4,2
206,Victoria White,Biology,Term 2,2025,3,4,4,3,4,4,4,4,5,3
207,Victoria White,Biology,Term 2,2025,5,4,2,2,3,4,4,3,3,5
208,Victoria White,Biology,Term 2,2025,2,3,4,3,4,3,3,3,3,5
209,Victoria White,Biology,Term 2,2025,3,4,4,5,5,2,4,4,5,2
210,Victoria White,Biology,Term 2,2025,4,3,4,3,3,2,4,3,3,3
211,Victoria White,Biology,Term 2,2025,3,4,4,2,2,2,2,4,4,5
212,Victoria White,Biology,Term 2,2025,3,4,4,2,4,3,4,3,2,4
213,Victoria White,Biology,Term 2,2025,5,3,4,5,2,3,4,3,3,3
214,Victoria White,Biology,Term 2,2025,4,3,3,3,5,3,4,3,2,3
215,Victoria White,Biology,Term 2,2025,3,4,4,3,5,5,4,4,3,2
216,Victoria White,Biology,Term 2,2025,4,3,5,5,3,4,4,4,4,5
217,Victoria White,Biology,Term 2,2025,5,4,5,4,3,4,3,4,4,3
218,Victoria White,Biology,Term 3,2025,4,4,3,2,2,3,3,5,3,3
219,Victoria White,Biology,Term 3,2025,4,4,3,4,3,3,3,4,3,2
220,Victoria White,Biology,Term 3,2025,3,3,3,5,4,3,3,3,3,3
221,Victoria White,Biology,Term 3,2025,4,4,4,4,4,4,4,3,4,3
222,Victoria White,Biology,Term 3,2025,4,3,4,5,5,4,5,3,3,4
223,Victoria White,Biology,Term 3,2025,5,5,3,4,4,5,3,3,4,3
224,Victoria White,Biology,Term 3,2025,3,4,3,5,4,2,3,2,3,3
225,Victoria White,Biology,Term 3,2025,4,3,4,5,5,5,3,3,3,3
226,Victoria White,Biology,Term 3,2025,4,3,3,3,4,3,2,3,2,4
227,Victoria White,Biology,Term 3,2025,3,4,2,5,3,5,3,5,4,3
228,Victoria White,Biology,Term 3,2025,4,3,3,4,2,3,4,4,4,3
229,Victoria White,Biology,Term 3,2025,4,3,5,4,2,3,3,2,3,3
230,Victoria White,Biology,Term 3,2025,3,4,4,3,4,5,5,4,4,4
231,Victoria White,Biology,Term 3,2025,4,4,2,4,4,3,3,3,4,2
232,Victoria White,Biology,Term 3,2025,3,4,4,4,5,4,4,4,4,4
233,Ms. Mary Kelly PhD,History,Term 1,2023,3,3,3,4,3,3,2,3,4,3
234,Ms. Mary Kelly PhD,History,Term 1,2023,4,2,2,3,4,3,2,2,3,4
235,Ms. Mary Kelly PhD,History,Term 1,2023,2,4,3,2,4,2,3,3,3,4
236,Ms. Mary Kelly PhD,History,Term 1,2023,4,3,3,2,3,2,3,5,2,1
237,Ms. Mary Kelly PhD,History,Term 1,2023,3,3,3,3,1,2,1,4,3,3
238,Ms. Mary Kelly PhD,History,Term 1,2023,2,3,1,2,5,3,5,1,3,2
239,Ms. Mary Kelly PhD,History,Term 1,2023,2,3,2,2,2,2,3,4,4,3
240,Ms. Mary Kelly PhD,History,Term 1,2023,3,2,3,3,3,2,3,2,4,3
241,Ms. Mary Kelly PhD,History,Term 1,2023,1,3,3,1,2,4,3,2,3,3
242,Ms. Mary Kelly PhD,History,Term 1,2023,2,2,3,3,2,3,2,4,3,1
243,Ms. Mary Kelly PhD,History,Term 1,2023,2,3,4,3,2,2,3,2,3,3
244,Ms. Mary Kelly PhD,History,Term 1,2023,3,3,1,3,3,2,2,3,3,2
245,Ms. Mary Kelly PhD,History,Term 1,2023,3,4,2,3,3,2,3,4,1,3
246,Ms. Mary Kelly PhD,History,Term 1,2023,3,2,3,3,2,4,3,2,2,2
247,Ms. Mary Kelly PhD,History,Term 1,2023,1,1,3,3,1,3,2,3,3,1
248,Ms. Mary Kelly PhD,History,Term 1,2023,3,3,2,3,3,2,4,4,4,2
249,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,3,3,4,3,2,1,2,3
250,Ms. Mary Kelly PhD,History,Term 2,2023,4,4,3,2,2,3,2,3,4,4
251,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,3,1,3,2,2,4,2,3
252,Ms. Mary Kelly PhD,History,Term 2,2023,3,1,3,3,3,1,3,2,3,3
253,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,3,3,1,5,3,4,3,3
254,Ms. Mary Kelly PhD,History,Term 2,2023,2,4,4,2,2,3,3,3,3,3
255,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,4,3,3,4,2,2,4,3
256,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,4,3,3,4,2,2,3,2
257,Ms. Mary Kelly PhD,History,Term 2,2023,3,2,3,2,2,3,3,3,4,3
258,Ms. Mary Kelly PhD,History,Term 2,2023,2,4,3,3,4,2,3,2,3,2
259,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,3,3,1,3,2,4,4,2
260,Ms. Mary Kelly PhD,History,Term 2,2023,2,4,4,3,2,1,3,2,3,3
261,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,4,3,2,3,3,3,4,2
262,Ms. Mary Kelly PhD,History,Term 2,2023,3,2,3,3,3,1,4,4,3,4
263,Ms. Mary Kelly PhD,History,Term 2,2023,2,2,3,2,3,2,2,1,3,3
264,Ms. Mary Kelly PhD,History,Term 2,2023,4,1,4,2,3,3,3,1,3,3
265,Ms. Mary Kelly PhD,History,Term 2,2023,4,3,3,2,3,3,3,3,3,2
266,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,4,2,4,3,1,3,3,3
267,Ms. Mary Kelly PhD,History,Term 2,2023,4,4,2,3,2,2,3,4,2,2
268,Ms. Mary Kelly PhD,History,Term 2,2023,4,2,3,3,4,3,3,2,4,3
269,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,3,2,3,2,2,4,4,3
270,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,2,4,2,2,3,4,4,4
271,Ms. Mary Kelly PhD,History,Term 2,2023,4,4,3,2,2,4,3,2,3,2
272,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,4,3,3,3,3,1,4,3
273,Ms. Mary Kelly PhD,History,Term 2,2023,2,2,2,5,2,2,3,2,3,4
274,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,3,2,3,4,4,3,3,2
275,Ms. Mary Kelly PhD,History,Term 2,2023,2,2,4,2,2,3,4,2,1,3
276,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,3,3,3,3,2,2,2,2
277,Ms. Mary Kelly PhD,History,Term 2,2023,2,4,2,1,4,3,3,3,3,4
278,Ms. Mary Kelly PhD,History,Term 2,2023,2,4,4,2,2,3,2,3,4,3
279,Ms. Mary Kelly PhD,History,Term 2,2023,4,2,3,2,3,3,2,2,2,2
280,Ms. Mary Kelly PhD,History,Term 2,2023,2,4,3,3,3,4,2,3,3,2
281,Ms. Mary Kelly PhD,History,Term 2,2023,4,2,3,2,4,3,2,3,1,3
282,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,1,3,3,2,3,3,4,1
283,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,3,3,3,3,4,2,2,3
284,Ms. Mary Kelly PhD,History,Term 2,2023,3,3,2,2,3,2,2,4,3,2
285,Ms. Mary Kelly PhD,History,Term 2,2023,2,3,4,4,2,4,2,2,2,2
286,Ms. Mary Kelly PhD,History,Term 2,2023,4,2,1,2,3,1,3,2,4,3
287,Ms. Mary Kelly PhD,History,Term 2,2023,3,2,2,2,3,4,3,2,4,3
288,Ms. Mary Kelly PhD,History,Term 2,2023,3,4,3,3,3,3,3,2,2,3
289,Ms. Mary Kelly PhD,History,Term 3,2023,3,2,5,3,3,2,3,3,3,3
290,Ms. Mary Kelly PhD,History,Term 3,2023,3,2,2,5,2,2,3,1,4,4
291,Ms. Mary Kelly PhD,History,Term 3,2023,2,3,4,3,4,4,2,3,2,2
292,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,2,3,2,2,4,2,3,4
293,Ms. Mary Kelly PhD,History,Term 3,2023,3,4,2,2,3,2,2,3,3,3
294,Ms. Mary Kelly PhD,History,Term 3,2023,1,2,2,3,3,3,2,1,4,3
295,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,2,4,2,3,3,3,3,2
296,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,4,3,4,3,3,4,4,4
297,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,4,3,2,2,3,3,2,2
298,Ms. Mary Kelly PhD,History,Term 3,2023,2,3,3,3,3,4,5,3,4,2
299,Ms. Mary Kelly PhD,History,Term 3,2023,4,2,3,3,1,1,2,4,3,4
300,Ms. Mary Kelly PhD,History,Term 3,2023,1,3,3,2,4,2,3,5,2,2
301,Ms. Mary Kelly PhD,History,Term 3,2023,3,2,3,1,3,4,3,3,3,3
302,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,3,3,3,3,2,1,3,2
303,Ms. Mary Kelly PhD,History,Term 3,2023,3,4,3,3,2,3,2,4,3,3
304,Ms. Mary Kelly PhD,History,Term 3,2023,1,2,3,4,3,3,3,3,2,2
305,Ms. Mary Kelly PhD,History,Term 3,2023,2,2,3,2,3,2,1,2,3,2
306,Ms. Mary Kelly PhD,History,Term 3,2023,4,3,4,5,2,2,2,3,3,3
307,Ms. Mary Kelly PhD,History,Term 3,2023,2,3,4,2,2,4,2,3,3,4
308,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,2,2,3,2,2,4,3,4
309,Ms. Mary Kelly PhD,History,Term 3,2023,4,2,3,3,3,4,4,3,3,3
310,Ms. Mary Kelly PhD,History,Term 3,2023,2,3,5,3,4,3,2,2,2,3
311,Ms. Mary Kelly PhD,History,Term 3,2023,3,3,2,4,2,3,2,2,2,3
312,Ms. Mary Kelly PhD,History,Term 3,2023,3,2,2,4,4,3,4,4,3,2
313,Ms. Mary Kelly PhD,History,Term 3,2023,5,4,2,2,1,2,2,4,4,3
314,Ms. Mary Kelly PhD,History,Term 3,2023,3,2,2,3,4,3,3,3,2,3
315,Ms. Mary Kelly PhD,History,Term 3,2023,2,4,2,4,2,3,2,4,2,2
316,Ms. Mary Kelly PhD,History,Term 1,2024,4,2,3,3,3,3,2,2,3,3
317,Ms. Mary Kelly PhD,History,Term 1,2024,3,1,3,3,3,3,3,2,4,3
318,Ms. Mary Kelly PhD,History,Term 1,2024,4,3,2,3,2,3,2,3,4,4
319,Ms. Mary Kelly PhD,History,Term 1,2024,2,3,4,2,1,2,3,1,4,1
320,Ms. Mary Kelly PhD,History,Term 1,2024,3,3,3,4,4,3,2,3,3,3
321,Ms. Mary Kelly PhD,History,Term 1,2024,2,4,2,3,2,4,5,4,2,2
322,Ms. Mary Kelly PhD,History,Term 1,2024,2,3,3,2,2,1,3,2,2,5
323,Ms. Mary Kelly PhD,History,Term 1,2024,3,3,3,2,4,3,2,4,2,4
324,Ms. Mary Kelly PhD,History,Term 1,2024,4,3,2,4,5,2,3,2,3,3
325,Ms. Mary Kelly PhD,History,Term 1,2024,4,2,3,3,2,3,2,3,4,2
326,Ms. Mary Kelly PhD,History,Term 1,2024,3,2,3,3,3,2,2,2,3,3
327,Ms. Mary Kelly PhD,History,Term 1,2024,3,3,2,3,1,3,4,3,4,3
328,Ms. Mary Kelly PhD,History,Term 1,2024,4,3,3,3,3,2,4,4,3,3
